LABEL,SCORE
2018-04_탠디_2단우산,0.07204488486112469
2018-04_탠디_3단우산,0.09690885061624906
2018-04_SK-II_BB/파운데이션/컴팩트류,0.19048517414344457
2018-04_VDL_BB/파운데이션/컴팩트류,0.2349404658276665
2018-04_VT코스메틱_BB/파운데이션/컴팩트류,0.21369292777295212
2018-04_겔랑_BB/파운데이션/컴팩트류,0.1954135082168879
2018-04_끌레드뽀보떼_BB/파운데이션/컴팩트류,0.18479919011665655
2018-04_닥터자르트_BB/파운데이션/컴팩트류,0.22419019056575137
2018-04_데코르테_BB/파운데이션/컴팩트류,0.22612776586964262
2018-04_디어달리아_BB/파운데이션/컴팩트류,0.14016186420693347
2018-04_디올_BB/파운데이션/컴팩트류,0.2178795964521186
2018-04_라메르_BB/파운데이션/컴팩트류,0.18690966814035737
2018-04_라프레리_BB/파운데이션/컴팩트류,0.22188754485051865
2018-04_랑콤_BB/파운데이션/컴팩트류,0.19848653200477762
2018-04_랩시리즈_BB/파운데이션/컴팩트류,0.1488259724699889
2018-04_로라메르시에_BB/파운데이션/컴팩트류,0.1992476067952929
2018-04_리리코스_BB/파운데이션/컴팩트류,0.21217287455528455
2018-04_리엔케이_BB/파운데이션/컴팩트류,0.19297670684594512
2018-04_메이크업포에버_BB/파운데이션/컴팩트류,0.19085908829677936
2018-04_바닐라코_BB/파운데이션/컴팩트류,0.2095076710038272
2018-04_바비브라운_BB/파운데이션/컴팩트류,0.18794802722349271
2018-04_베네피트_BB/파운데이션/컴팩트류,0.20886601674025385
2018-04_보브_BB/파운데이션/컴팩트류,0.15639652177758046
2018-04_부르조아_BB/파운데이션/컴팩트류,0.16571004367451878
2018-04_비디비치_BB/파운데이션/컴팩트류,0.20263884885874442
2018-04_비오템_BB/파운데이션/컴팩트류,0.22995196161238307
2018-04_빌리프_BB/파운데이션/컴팩트류,0.17603233443513144
2018-04_샤넬_BB/파운데이션/컴팩트류,0.3517860222815758
2018-04_설화수_BB/파운데이션/컴팩트류,0.20677919139074635
2018-04_세르주루텐_BB/파운데이션/컴팩트류,0.23271559985486712
2018-04_숨37˚_BB/파운데이션/컴팩트류,0.17627223663590239
2018-04_슈에무라_BB/파운데이션/컴팩트류,0.20650473948558246
2018-04_스틸라_BB/파운데이션/컴팩트류,0.20469410283473025
2018-04_시세이도_BB/파운데이션/컴팩트류,0.21160955131330647
2018-04_시슬리_BB/파운데이션/컴팩트류,0.20022256940493996
2018-04_시에로코스메틱_BB/파운데이션/컴팩트류,0.17113239631790256
2018-04_씨앤피알엑스_BB/파운데이션/컴팩트류,0.171739871751438
2018-04_아모레퍼시픽_BB/파운데이션/컴팩트류,0.23529898892128123
2018-04_아이소이_BB/파운데이션/컴팩트류,0.1983901646601291
2018-04_안나수이_BB/파운데이션/컴팩트류,0.200268974675477
2018-04_어딕션_BB/파운데이션/컴팩트류,0.18144056599725544
2018-04_어반디케이_BB/파운데이션/컴팩트류,0.18020180423218654
